Backend,Mode,Shards,Payload,OfferedRate,Completed,Backlog,MidpointBacklog,Seconds,InjectedLatencyMS,Throughput,AckP50US,AckP95US,AckP99US,CoordinationOpsPerRecord,CPUSeconds,AllocBytesPerRecord,AllocsPerRecord,HeapBytes
valkey,batch,1,16384,1157,5782,3,2,5,0,1156.4,430.5,639.208,1354.292,1.011069,1.188686,20048.009685,48.796437,16822792
valkey,batch,1,16384,2314,11567,3,2,5,0,2313.4,303.208,350.334,473.583,1.01072,1.066155,18799.101582,31.315553,14030680
valkey,batch,1,16384,5785,28917,8,6,5,0,5783.4,129.125,164.958,404.5,1.010167,1.509751,17873.950133,18.605872,14356392
valkey,batch,4,1024,1157,5783,2,1,5,0,1156.6,470.792,819.292,1899.958,1.01245,1.563617,11187.79872,152.450804,13013472
valkey,batch,4,1024,1157,5782,3,2,5,1,1156.4,1561.666,1911,2925.584,1.012798,1.649539,10638.608094,140.048772,14615688
valkey,batch,4,1024,2314,11566,4,2,5,0,2313.2,481.083,865.792,1641.708,1.011413,2.041312,7120.121736,92.568649,13271336
valkey,batch,4,1024,2314,10948,622,178,5,1,2189.6,1736.709,2407.917,3838.417,1.012422,1.580254,3106.113263,18.708349,20517528
valkey,batch,4,1024,5785,28917,8,5,5,0,5783.4,274.75,443.667,993.209,1.010893,1.988001,3677.291005,41.05993,20111968
valkey,batch,4,1024,5785,11088,17837,8902,5,1,2217.6,1725.042,2297.25,3315.208,1.012266,1.367838,2961.73088,16.334235,13488768
valkey,batch,4,16384,1157,5783,2,1,5,0,1156.6,477.584,842.958,1750.917,1.012623,1.63947,26819.523431,153.525679,21825840
valkey,batch,4,16384,2314,11565,5,3,5,0,2313,458.75,888.25,1981.167,1.011673,1.935009,22410.204583,91.247817,21040904
valkey,batch,4,16384,5785,28918,7,4,5,0,5783.6,276.834,448.291,1042.542,1.010789,2.110006,19038.842797,41.003769,16393384
valkey,sync,1,1024,1157,5783,2,1,5,0,1156.6,454.333,723.458,1392.584,1.011067,1.155449,4938.620093,50.000173,11432680
